,theta,theta_past_ma10
0,28,
1,34,28.0
2,32,31.0
3,32,31.333333333333332
4,30,31.5
5,24,31.2
6,31,30.0
7,26,30.142857142857142
8,30,29.625
9,28,29.666666666666668
10,29,29.5
11,30,29.6
12,34,29.2
13,31,29.4
14,32,29.3
15,32,29.5
16,35,30.3
17,33,30.7
18,32,31.4
19,34,31.6
20,33,32.2
21,36,32.6
22,36,33.2
23,32,33.4
24,35,33.5
25,31,33.8
26,33,33.7
27,36,33.5
28,35,33.8
29,33,34.1
30,34,34.0
31,32,34.1
32,33,33.7
33,32,33.4
34,35,33.4
35,33,33.4
36,38,33.6
37,41,34.1
38,36,34.6
39,38,34.7
40,37,35.2
41,36,35.5
42,43,35.9
43,40,36.9
44,40,37.7
45,37,38.2
46,41,38.6
47,38,38.9
48,32,38.6
49,32,38.2
50,38,37.6
51,33,37.7
52,35,37.4
53,31,36.6
54,35,35.7
55,32,35.2
56,33,34.7
57,28,33.9
58,34,32.9
59,31,33.1
60,29,33.0
61,29,32.1
62,31,31.7
63,28,31.3
64,34,31.0
65,35,30.9
66,34,31.2
67,35,31.3
68,37,32.0
69,34,32.3
70,37,32.6
71,37,33.4
72,34,34.2
73,35,34.5
74,35,35.2
75,35,35.3
76,39,35.3
77,33,35.8
78,33,35.6
79,31,35.2
80,31,34.9
81,33,34.3
82,34,33.9
83,36,33.9
84,35,34.0
85,34,34.0
86,36,33.9
87,37,33.6
88,37,34.0
89,39,34.4
90,38,35.2
91,37,35.9
92,34,36.3
93,39,36.3
94,44,36.6
95,42,37.5
96,37,38.3
97,38,38.4
98,39,38.5
99,37,38.7
100,38,38.5
101,38,38.5
102,37,38.6
103,33,38.9
104,38,38.3
105,57,37.7
106,80,39.2
107,72,43.5
108,61,46.9
109,55,49.1
110,52,50.9
111,51,52.3
112,52,53.6
113,53,55.1
114,55,57.1
115,58,58.8
116,53,58.9
117,50,56.2
118,56,54.0
119,55,53.5
120,51,53.5
121,51,53.4
122,55,53.4
123,58,53.7
124,58,54.2
125,60,54.5
126,61,54.7
127,56,55.5
128,62,56.1
129,52,56.7
130,50,56.4
131,50,56.3
132,52,56.2
133,50,55.9
134,45,55.1
135,45,53.8
136,46,52.3
137,49,50.8
138,53,50.1
139,40,49.2
140,49,48.0
141,57,47.9
142,49,48.6
143,59,48.3
144,60,49.2
145,52,50.7
146,50,51.4
147,58,51.8
148,51,52.7
149,48,52.5
150,54,53.3
151,58,53.8
152,50,53.9
153,52,54.0
154,52,53.3
155,48,52.5
156,46,52.1
157,45,51.7
158,42,50.4
159,48,49.5
160,48,49.5
161,49,48.9
162,45,48.0
163,48,47.5
164,47,47.1
165,47,46.6
166,58,46.5
167,52,47.7
168,49,48.4
169,53,49.1
170,60,49.6
171,50,50.8
172,59,50.9
173,58,52.3
